date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:22	51273/51273	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fed-c849%22	https://demo.dashboardpack.com/user-management-html/data_table.html	demo.dashboardpack.com/user-management-html/data_table.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:23	58693/58693	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fe4-e545%22	https://demo.dashboardpack.com/user-management-html/bootstrap_table.html	demo.dashboardpack.com/user-management-html/bootstrap_table.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:24	2275/2275	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc170ac-8e3%22	https://demo.dashboardpack.com/user-management-html/img/menu-icon/18.svg	demo.dashboardpack.com/user-management-html/img/menu-icon/18.svg	(from https://demo.dashboardpack.com/user-management-html/)
21:33:25	45235/45235	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fe3-b0b3%22	https://demo.dashboardpack.com/user-management-html/basic_card.html	demo.dashboardpack.com/user-management-html/basic_card.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:26	37651/37651	---MCZ	200	added ('OK')	text/html	etag:W/%225fc17006-9313%22	https://demo.dashboardpack.com/user-management-html/theme_card.html	demo.dashboardpack.com/user-management-html/theme_card.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:27	44607/44607	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fec-ae3f%22	https://demo.dashboardpack.com/user-management-html/dargable_card.html	demo.dashboardpack.com/user-management-html/dargable_card.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:28	1563/1563	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc170ac-61b%22	https://demo.dashboardpack.com/user-management-html/img/menu-icon/19.svg	demo.dashboardpack.com/user-management-html/img/menu-icon/19.svg	(from https://demo.dashboardpack.com/user-management-html/)
21:33:29	33518/33518	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fe8-82ee%22	https://demo.dashboardpack.com/user-management-html/chartjs.html	demo.dashboardpack.com/user-management-html/chartjs.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:30	32568/32568	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fe2-7f38%22	https://demo.dashboardpack.com/user-management-html/apex_chart.html	demo.dashboardpack.com/user-management-html/apex_chart.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:31	35830/35830	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fe9-8bf6%22	https://demo.dashboardpack.com/user-management-html/chart_sparkline.html	demo.dashboardpack.com/user-management-html/chart_sparkline.html	(from https://demo.dashboardpack.com/user-management-html/)
